min_cluster_size,min_samples,metric,cluster_selection_method,model_type,model,n_clusters,silhouette,calinski_harabasz,davies_bouldin
10,20,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size10_min_samples20_metriceuclidean_cluster_selection_methodeom,3,0.5041226419949991,99.89913328844159,0.5524884836477021
20,20,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size20_min_samples20_metriceuclidean_cluster_selection_methodeom,3,0.5041226419949991,99.89913328844159,0.5524884836477021
20,10,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size20_min_samples10_metriceuclidean_cluster_selection_methodeom,3,0.5038650479423024,96.5160335052079,0.5127110638512087
10,10,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size10_min_samples10_metriceuclidean_cluster_selection_methodeom,3,0.5038650479423024,96.5160335052079,0.5127110638512087
100,30,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size100_min_samples30_metriceuclidean_cluster_selection_methodeom,4,0.2255952620393032,793.7538947871853,2.4825492812314667
100,10,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size100_min_samples10_metriceuclidean_cluster_selection_methodeom,6,0.22364918869042186,627.2918340371705,2.7112644341503067
50,40,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size50_min_samples40_metriceuclidean_cluster_selection_methodeom,4,0.21388677651010085,767.4016952718608,2.4259515871590445
100,40,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size100_min_samples40_metriceuclidean_cluster_selection_methodeom,4,0.21388677651010085,767.4016952718608,2.4259515871590445
100,20,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size100_min_samples20_metriceuclidean_cluster_selection_methodeom,5,0.20061799355677237,694.2265384325437,2.5346118601011427
50,20,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size50_min_samples20_metriceuclidean_cluster_selection_methodeom,6,0.19987994510486856,576.9954824606019,2.5703965713109382
50,30,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size50_min_samples30_metriceuclidean_cluster_selection_methodeom,6,0.1750322560656253,531.1553566709156,2.467878670364755
10,30,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size10_min_samples30_metricmanhattan_cluster_selection_methodeom,3,0.1509593300425431,640.6615928200155,3.732854088196581
30,40,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size30_min_samples40_metriceuclidean_cluster_selection_methodeom,6,0.1506446303864341,489.14044053057495,2.410660741841047
20,40,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size20_min_samples40_metriceuclidean_cluster_selection_methodeom,6,0.1506446303864341,489.14044053057495,2.410660741841047
10,40,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size10_min_samples40_metricmanhattan_cluster_selection_methodeom,3,0.13207409248181715,602.7730632438673,3.650746361568699
50,40,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size50_min_samples40_metricmanhattan_cluster_selection_methodeom,3,0.13207409248181715,602.7730632438673,3.650746361568699
30,40,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size30_min_samples40_metricmanhattan_cluster_selection_methodeom,3,0.13207409248181715,602.7730632438673,3.650746361568699
20,40,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size20_min_samples40_metricmanhattan_cluster_selection_methodeom,3,0.13207409248181715,602.7730632438673,3.650746361568699
100,40,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size100_min_samples40_metricmanhattan_cluster_selection_methodeom,3,0.13207409248181715,602.7730632438673,3.650746361568699
100,20,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size100_min_samples20_metricmanhattan_cluster_selection_methodeom,4,0.11958353402272053,628.2476742485867,2.5807003060841143
50,20,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size50_min_samples20_metricmanhattan_cluster_selection_methodeom,4,0.11958353402272053,628.2476742485867,2.5807003060841143
30,20,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size30_min_samples20_metriceuclidean_cluster_selection_methodeom,9,0.10295096813185932,333.01315102059806,2.094725982133531
20,30,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size20_min_samples30_metricmanhattan_cluster_selection_methodeom,4,0.09041417113425688,569.6213172751789,2.4769328791238703
50,30,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size50_min_samples30_metricmanhattan_cluster_selection_methodeom,4,0.09041417113425688,569.6213172751789,2.4769328791238703
100,30,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size100_min_samples30_metricmanhattan_cluster_selection_methodeom,4,0.09041417113425688,569.6213172751789,2.4769328791238703
30,30,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size30_min_samples30_metricmanhattan_cluster_selection_methodeom,4,0.09041417113425688,569.6213172751789,2.4769328791238703
50,10,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size50_min_samples10_metriceuclidean_cluster_selection_methodeom,11,0.09033066756887045,297.4508266341344,2.0801891641313364
10,30,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size10_min_samples30_metriceuclidean_cluster_selection_methodeom,7,0.08652255192148854,379.99829731363815,2.1529990147298106
20,30,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size20_min_samples30_metriceuclidean_cluster_selection_methodeom,7,0.08652255192148854,379.99829731363815,2.1529990147298106
30,30,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size30_min_samples30_metriceuclidean_cluster_selection_methodeom,7,0.08652255192148854,379.99829731363815,2.1529990147298106
100,10,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size100_min_samples10_metricmanhattan_cluster_selection_methodeom,5,0.06537719745104352,422.7544309686077,2.4349576021357846
30,10,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size30_min_samples10_metriceuclidean_cluster_selection_methodeom,12,0.06320684301853863,262.53584723662686,2.073851297789373
10,40,euclidean,eom,hdbscan,HDBSCAN_min_cluster_size10_min_samples40_metriceuclidean_cluster_selection_methodeom,7,0.05982155578166215,352.3866469785224,2.127932617494305
30,20,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size30_min_samples20_metricmanhattan_cluster_selection_methodeom,5,0.052427853890201014,443.4949517260148,2.357302099171611
20,20,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size20_min_samples20_metricmanhattan_cluster_selection_methodeom,8,0.0063960967177035455,308.58248805508134,1.9058040456673686
10,20,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size10_min_samples20_metricmanhattan_cluster_selection_methodeom,9,-0.005427589627575369,272.016435976038,1.9344768503499594
10,10,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size10_min_samples10_metricmanhattan_cluster_selection_methodeom,14,-0.04406894081513121,167.75067399029837,1.857136661366557
20,10,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size20_min_samples10_metricmanhattan_cluster_selection_methodeom,13,-0.04675158101546692,177.35928032139438,1.89703219779477
30,10,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size30_min_samples10_metricmanhattan_cluster_selection_methodeom,10,-0.053201969428070955,193.26563092286642,2.198167194155106
50,10,manhattan,eom,hdbscan,HDBSCAN_min_cluster_size50_min_samples10_metricmanhattan_cluster_selection_methodeom,9,-0.055939152270962605,211.13200973684783,2.232923608129347
